	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
80	"Former Labour MP John Woodcock shared the video and said: ""You can really shut up. Disgusting."""	a	1	2	2
81	"Meanwhile Tory MP and business minister Nadhim Zahawi said: ""You are so wrong to use Jo Cox in this way, when her family have specifically asked for her not to be used in this way."	a	1	2	1
82	To be kept out of politics.”	a	1	2	2
83	If you have an ounce of decency Jeremy Corbyn you would take this video down.	a	1	3	2
84	"It follows a row over language in Parliament this week in which Mr Johnson said that the ""best way"" to honour Mrs Cox was to ""get Brexit done."""	a	3	2	1
85	"Her sister Kim Leadbeater called for a dialling down of extreme language saying it was ""not helpful to Jo's kids."""	a	2	1	3
86	"She told ITV: ""For me to come out and say outrageous things about Boris Johnson — I just don't think that's a useful way of moving forward."	a	1	2	1
87	"I can say what I think is right and what I think is wrong but I'm going to try and do that in a measured manner."""	a	1	2	1
88	The daughter of Labour MP Yvette Cooper spoke out yesterday to say she constantly fears for her mother's life because of the way people speak about politicians.	a	1	2	3
89	"The 12-year-old who ""silenced the world"""	a	1	1	1
90	Greta Thunberg has established herself as the planet's spokeswoman on climate change at the tender age of 16.	a	1	1	2
91	But long before social media, another teenager was scolding UN leaders on the world stage 27 years ago.	a	1	1	2
92	"In the year since she organized school walkouts in her native Sweden to protest climate change, Greta Thunberg's environmental crusade has been unavoidable, culminating on Monday in an angry and passionate speech before the UN's Climate Action Summit, in which she lambasted politicians for stealing her ""dreams"" and her ""childhood"" with ""empty words"" while humanity stares down ""a mass extinction."""	a	1	2	3
93	Thunberg's grim pronouncements have earned her savage criticism, and glowing praise.	a	1	3	2
94	"New York Magazine called her ""the Joan of Arc of climate change,"" while The Guardian ranked her speech alongside President Lincoln's Gettysburg Address for its historical significance."	a	1	2	1
95	Then again, they said the same about Severn Cullis-Suzuki in 1992.	a	1	1	1
96	"Long before Thunberg deadpanned to parliamentarians that ""we probably don't even have a future any more,"" and netizens tore each other to shreds attacking and defending her, 12-year-old Cullis-Suzuki became known as the ""The girl who silenced the world for five minutes"" when she delivered a similar sermon before the UN Earth Summit in Rio de Janeiro."	a	1	3	2
97	The tone of Cullis-Suzuki's speech is strikingly similar to Thunberg's.	a	1	2	1
98	"We've come...to tell you adults that you must change your ways, she opened, just like Thunberg told the assembled adults ""we will not let you get away with this."""	a	1	3	2
99	"Just as Thunberg told the UN summit ""we are in the beginning of a mass extinction and all you can talk about is the money and fairytales of eternal economic growth,"" Cullis-Suzuki told leaders that ""losing my future is not like losing an election or a few points on the stock market."""	a	1	2	1
100	And underpinning both girls’ messages was a nihilistic fatalism.	a	1	1	1
101	I am afraid to go out in the sun now because of the hole in our ozone.	a	1	1	2
102	I am afraid to breathe the air because I don't know what chemicals are in it, Cullis-Suzuki said in 1992.	a	1	2	3
103	"Striking schoolchildren in 2019 carry banners reading ""You'll die of old age, I'll die of climate change."""	a	1	2	1
104	The environmental problems addressed by Cullis-Suzuki reflect the world of the early 1990s, when deforestation, the depletion of the ozone layer, and the extinction of species were the ecological concerns de jour.	a	1	1	2
105	Yet humanity has been fairly successful at resolving those problems in the intervening years.	a	2	1	1
106	Thanks to a landmark chemicals ban, ozone depletion has slowed dramatically, and forest cover worldwide has increased by an area the size of Texas and Alaska combined.	a	1	2	3
107	Cullis-Suzuki herself went on to found an environmental think tank and work for UN Secretary General Kofi Annan's Special Advisory Panel in the early 2000s.	a	1	3	2
108	So what does the future have in store for Thunberg?	a	1	1	1
109	Well that depends how you look at Cullis-Suzuki's example.	a	1	1	2
110	On one hand, none of her worst fears came to pass.	a	1	2	2
111	On the other, world governments still have ecological problems to contend with, and are still being lectured by children about them.	a	1	3	2
112	Assuming the world as we know it still exists 27 years from now — as Thunberg says it won't unless we slash carbon emissions to absolute zero in the next decade or so — then the teenage activist will likely look back on a long UN and NGO career that kicked off with one famous speech.	a	1	1	2
113	By then, another concerned child will likely be delivering a passionate warning about acid rain in the Martian colonies.	a	1	3	2
